,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales
66,Virtua Fighter 3tb,DC,1998,Fighting,Sega,0.0,0.0,0.37,0.0,0.37
67,Kirby: Mass Attack,DS,2011,Platform,Nintendo,0.52,0.06,0.41,0.05,1.04
68,Exhibition Volume 5,XB,2004,Misc,Microsoft Game Studios,0.04,0.01,0.0,0.0,0.05
69,Sherlock Holmes: Crimes & Punishments,PS4,2014,Adventure,Focus Home Interactive,0.08,0.14,0.0,0.05,0.27
70,NBA 2K11,PC,2010,Action,Take-Two Interactive,0.18,0.0,0.0,0.01,0.19
71,Command & Conquer,N64,1999,Strategy,Nintendo,0.22,0.05,0.0,0.0,0.27
72,Code Lyoko,DS,2007,Action,Game Factory,0.03,0.01,0.0,0.0,0.04
73,Payday 2,XOne,2015,Shooter,505 Games,0.08,0.07,0.0,0.01,0.16000000000000003
74,Teenage Mutant Ninja Turtles,XB,2003,Action,Konami Digital Entertainment,0.22,0.06,0.0,0.01,0.29000000000000004
75,Age of Empires III: Complete Collection,PC,2009,Strategy,Microsoft Game Studios,0.01,0.12,0.0,0.03,0.16
76,Deadliest Catch: Sea of Chaos,PS3,2010,Sports,Crave Entertainment,0.08,0.0,0.0,0.01,0.09
77,Wrecking Crew,NES,1985,Platform,Nintendo,0.0,0.0,0.51,0.0,0.51
78,Buzz Lightyear of Star Command,PS,2000,Platform,Activision,0.35,0.24,0.0,0.04,0.63
79,Sudokuro,DS,2007,Puzzle,Crave Entertainment,0.1,0.0,0.0,0.01,0.11
80,Yattaman Wii: BikkuriDokkiri Machine de Mou Race da Koron,Wii,2008,Racing,Takara Tomy,0.0,0.0,0.01,0.0,0.01
81,Dynasty Warriors Advance,GBA,2005,Action,Nintendo,0.08,0.03,0.0,0.0,0.11
82,Treasures of the Deep,PS,1997,Action,Namco Bandai Games,0.1,0.07,0.0,0.01,0.18000000000000002
83,Mobile Suit Gundam: Perfect One Year War,PS,1997,Strategy,Namco Bandai Games,0.0,0.0,0.14,0.01,0.15000000000000002
84,Billy Hatcher and the Giant Egg,GC,2003,Platform,Sega,0.19,0.05,0.0,0.01,0.25
85,Tom and Jerry in Fists of Furry,N64,2000,Fighting,Ubisoft,0.13,0.03,0.0,0.0,0.16
86,Resident Evil: Dead Aim,PS2,2003,Action,Capcom,0.17,0.13,0.0,0.04,0.34
87,Seiken Densetsu 3,SNES,1995,Role-Playing,SquareSoft,0.0,0.0,0.89,0.0,0.89
88,Spy vs Spy,XB,2005,Action,Global Star,0.08,0.02,0.0,0.0,0.1
89,Harry Potter and the Deathly Hallows - Part 1,PS3,2010,Action,Electronic Arts,0.13,0.21,0.0,0.08,0.42
90,Bugs Bunny: Lost in Time,PS,1999,Platform,Infogrames,0.22,0.15,0.0,0.03,0.4
91,Tom Clancy's Ghost Recon: Predator,PSP,2010,Shooter,Ubisoft,0.07,0.02,0.0,0.02,0.11000000000000001
92,Death Jr.,PSP,2005,Platform,Konami Digital Entertainment,0.17,0.0,0.0,0.01,0.18000000000000002
93,Disney Universe,Wii,2011,Action,Disney Interactive Studios,0.67,0.3,0.0,0.1,1.07
94,Pac-Man and the Ghostly Adventures 2,PS3,2014,Adventure,Namco Bandai Games,0.05,0.04,0.0,0.02,0.11
95,Need for Speed Underground,PC,2003,Racing,Electronic Arts,0.0,0.04,0.0,0.01,0.05
96,Robotron 64,N64,1998,Shooter,GT Interactive,0.07,0.02,0.0,0.0,0.09000000000000001
97,Gummy Bears Magical Medallion,Wii,2011,Platform,Storm City Games,0.02,0.0,0.0,0.0,0.02
98,Tony Hawk's Pro Skater 2,N64,2001,Sports,Activision,0.59,0.16,0.0,0.01,0.76
99,Red Steel 2,Wii,2010,Shooter,Ubisoft,0.36,0.21,0.01,0.06,0.6399999999999999
100,Romancing SaGa 2,SNES,1993,Role-Playing,SquareSoft,0.0,0.0,1.17,0.0,1.17
101,Samurai Warriors Chronicles 3,3DS,2014,Action,Tecmo Koei,0.0,0.0,0.08,0.0,0.08
102,Where's Waldo? The Fantastic Journey,Wii,2009,Adventure,Ubisoft,0.18,0.0,0.0,0.01,0.19
103,Nobunaga no Yabou: Ranseiki,PS2,2002,Strategy,Tecmo Koei,0.0,0.0,0.13,0.0,0.13
104,The Guy Game,XB,2004,Misc,Gathering of Developers,0.05,0.02,0.0,0.0,0.07
105,Metroid Prime Pinball,DS,2005,Misc,Nintendo,0.21,0.0,0.02,0.02,0.24999999999999997
106,NCAA Football 08,XB,2007,Sports,Electronic Arts,0.06,0.02,0.0,0.0,0.08
107,NHL 06,XB,2005,Sports,Electronic Arts,0.19,0.05,0.0,0.01,0.25
108,Madden NFL 2001,PS2,2000,Sports,Electronic Arts,1.19,0.07,0.05,0.2,1.51
109,Yakuza Kiwami,PS3,2016,Adventure,Sega,0.0,0.0,0.12,0.0,0.12
111,Ore wa Shoujo Mangaka,PSP,2012,Action,Giza10,0.0,0.0,0.02,0.0,0.02
112,Rocky Balboa,PSP,2007,Sports,Ubisoft,0.01,0.09,0.0,0.01,0.10999999999999999
113,Victory Spike,PS,1996,Sports,Imagineer,0.0,0.0,0.01,0.0,0.01
114,Bubble Bobble Revolution,DS,2005,Puzzle,Atari,0.04,0.0,0.0,0.0,0.04
115,State of Emergency 2,PS2,2006,Shooter,SouthPeak Games,0.04,0.03,0.0,0.01,0.08
116,Lords of the Fallen,PC,2014,Role-Playing,Square Enix,0.0,0.03,0.0,0.0,0.03
117,Mazes of Fate DS,DS,2008,Role-Playing,Graffiti,0.04,0.0,0.0,0.0,0.04
118,Jikkyou Powerful Pro Baseball 2016,PS4,2016,Sports,Konami Digital Entertainment,0.0,0.0,0.17,0.0,0.17
119,King Arthur,GC,2004,Action,Konami Digital Entertainment,0.03,0.01,0.0,0.0,0.04
120,Magna Carta Portable,PSP,2006,Role-Playing,Banpresto,0.0,0.0,0.03,0.0,0.03
121,Lise no Atelier: Ordre no Renkinjutsushi,DS,2007,Role-Playing,Gust,0.0,0.0,0.04,0.0,0.04
122,Armored Core: Master of Arena,PS,1999,Simulation,From Software,0.07,0.05,0.13,0.02,0.27
123,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.91,2.38,0.13,0.9,9.32
124,Shrek Super Party,GC,2003,Misc,TDK Mediactive,0.04,0.01,0.0,0.0,0.05
125,Steins;Gate: Hiyoku Renri no Darling,PS3,2012,Adventure,5pb,0.0,0.0,0.02,0.0,0.02
126,Crime Scene,DS,2009,Adventure,Nobilis,0.0,0.02,0.0,0.0,0.02
127,Mortal Kombat,PS3,2011,Fighting,Warner Bros. Interactive Entertainment,1.98,0.55,0.0,0.32,2.85
128,Circuit Breakers,PS,1998,Racing,Mindscape,0.04,0.03,0.0,0.0,0.07
129,Rozen Maiden: Gebetgarten,PS2,2007,Fighting,Taito,0.0,0.0,0.01,0.0,0.01
130,Sea Park Tycoon,DS,2010,Simulation,Foreign Media Games,0.02,0.01,0.0,0.0,0.03
131,Hot Wheels: Battle Force 5,DS,2009,Racing,Activision,0.13,0.02,0.0,0.01,0.16
132,Call of Duty 4: Modern Warfare,PC,2007,Shooter,Activision,0.0,1.12,0.0,0.03,1.1500000000000001
133,Rabbids Invasion: The Interactive TV Show,PS4,2014,Misc,Ubisoft,0.0,0.01,0.0,0.0,0.01
134,Cabela's Big Game Hunter: Pro Hunts,WiiU,2014,Shooter,Activision,0.02,0.0,0.0,0.0,0.02
135,Forza Horizon 2,X360,2014,Racing,Microsoft Game Studios,0.35,0.43,0.0,0.07,0.8500000000000001
136,Hitman: HD Trilogy,PS3,2013,Action,Square Enix,0.07,0.1,0.0,0.04,0.21000000000000002
137,Super Robot Taisen XO,X360,2006,Strategy,Banpresto,0.0,0.0,0.01,0.0,0.01
138,Call of Juarez: The Cartel,PS3,2011,Shooter,Ubisoft,0.12,0.13,0.0,0.05,0.3
139,Warriors Orochi 3,PS4,2014,Action,Tecmo Koei,0.04,0.05,0.04,0.02,0.15
140,The Incredibles: Rise of the Underminer,PS2,2005,Action,THQ,0.18,0.14,0.0,0.05,0.37
141,Looney Tunes: Galactic Sports,PSV,2015,Action,Sony Computer Entertainment,0.0,0.06,0.0,0.02,0.08
142,Sumikko Gurashi: Koko ga Ochitsukundesu,3DS,2014,Action,Nippon Columbia,0.0,0.0,0.17,0.0,0.17
143,FIFA Manager 12,PC,2011,Sports,Electronic Arts,0.0,0.03,0.0,0.01,0.04
144,Buffy the Vampire Slayer: Chaos Bleeds,PS2,2003,Action,Vivendi Games,0.09,0.07,0.0,0.02,0.18
145,UEFA Euro 2008 Austria-Switzerland,PSP,2008,Sports,Electronic Arts,0.06,0.13,0.0,0.06,0.25
146,TOCA Race Driver 3,PC,2006,Racing,Codemasters,0.0,0.02,0.0,0.0,0.02
147,Fallout 4,PC,2015,Role-Playing,Bethesda Softworks,0.5,0.63,0.0,0.1,1.23
148,"Army Men World War: Land, Sea, Air",PS,2000,Action,3DO,0.17,0.12,0.0,0.02,0.31000000000000005
149,Dai-2-Ji Super Robot Taisen α,PS2,2003,Strategy,Banpresto,0.0,0.0,0.6,0.0,0.6
150,Yu-Gi-Oh! The Sacred Cards,GBA,2002,Role-Playing,Konami Digital Entertainment,0.94,0.35,0.0,0.02,1.31
151,Nicola Kanshuu: Model * Oshare Audition,DS,2010,Misc,Alchemist,0.0,0.0,0.06,0.0,0.06
152,SX Superstar,GC,2003,Racing,Acclaim Entertainment,0.03,0.01,0.0,0.0,0.04
153,Style Savvy: Trendsetters,3DS,2012,Simulation,Nintendo,0.16,0.02,0.53,0.01,0.72
154,Densetsu no Stafi 4,DS,2006,Platform,Nintendo,0.0,0.0,0.17,0.0,0.17
155,"Simple 2500 Series Portable!! Vol. 12: The Hohei 2: Senyuu yo, Sakini Ike",PSP,2009,Action,D3Publisher,0.0,0.0,0.02,0.0,0.02
156,The Sims 2: Castaway,DS,2007,Simulation,Electronic Arts,0.63,0.05,0.0,0.06,0.74
157,Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987,Role-Playing,Namco Bandai Games,0.0,0.0,1.25,0.0,1.25
158,Tom Clancy's Rainbow Six: Vegas 2,PC,2008,Shooter,Ubisoft,0.0,0.02,0.0,0.0,0.02
159,Disney Guilty Party,Wii,2010,Misc,Disney Interactive Studios,0.43,0.0,0.0,0.03,0.45999999999999996
160,International Superstar Soccer 2000 (JP weekly sales),N64,1999,Sports,Konami Digital Entertainment,0.0,0.0,0.18,0.0,0.18
161,PictoImage,DS,2007,Puzzle,Sega,0.1,0.0,0.0,0.01,0.11
162,Tamagotchi no Narikiri Channel,DS,2009,Role-Playing,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15
163,Doom 3 BFG Edition,PC,2012,Shooter,Bethesda Softworks,0.0,0.02,0.0,0.01,0.03
164,Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,Enix Corporation,0.2,0.14,4.1,0.02,4.459999999999999
165,El Shaddai: Ascension of the Metatron,X360,2011,Action,Ignition Entertainment,0.07,0.05,0.03,0.01,0.16000000000000003
166,Burnout 3: Takedown,PS2,2004,Racing,Electronic Arts,1.23,1.11,0.0,0.34,2.6799999999999997
167,Dragon Quest Builders: Revive Alefgard,PS4,2016,Role-Playing,Square Enix,0.0,0.0,0.22,0.0,0.22
168,MediEvil: Resurrection,PSP,2005,Adventure,Sony Computer Entertainment,0.19,0.41,0.0,0.22,0.82
169,Twinkle * Crusaders GoGo!,PSP,2010,Adventure,ASCII Media Works,0.0,0.0,0.02,0.0,0.02
170,One Piece: Grand Battle!,PS,2001,Fighting,Atari,0.0,0.0,0.46,0.03,0.49
171,Jikkyou Powerful Pro Yakyuu 2011 Ketteiban,PSP,2011,Sports,Konami Digital Entertainment,0.0,0.0,0.13,0.0,0.13
172,The Warriors,PS2,2005,Action,Take-Two Interactive,0.44,0.02,0.0,0.07,0.53
173,The Sims 2,PC,2004,Simulation,Electronic Arts,0.02,0.24,0.0,0.05,0.31
174,NCAA Football 07,XB,2006,Sports,Electronic Arts,0.42,0.12,0.0,0.01,0.55
175,Famicom Mini: SD Gundam World Gachapon Senshi - Scramble Wars,GBA,2004,Strategy,Nintendo,0.0,0.0,0.08,0.0,0.08
176,Marvel Super Heroes,PS,1997,Fighting,Virgin Interactive,0.19,0.13,0.0,0.02,0.34
177,Max Payne,GBA,2003,Shooter,Take-Two Interactive,0.02,0.01,0.0,0.0,0.03
178,Curse of the Amsterdam Diamond,DS,2012,Puzzle,Easy Interactive,0.0,0.01,0.0,0.0,0.01
179,SD Gundam G Generation World,PSP,2011,Strategy,Namco Bandai Games,0.0,0.0,0.34,0.0,0.34
180,Conflict: Desert Storm,GC,2003,Shooter,SCi,0.06,0.02,0.0,0.0,0.08
181,Mystic Ark,SNES,1995,Role-Playing,Enix Corporation,0.0,0.0,0.13,0.0,0.13
182,F.E.A.R. 2: Project Origin,PS3,2009,Shooter,Warner Bros. Interactive Entertainment,0.19,0.21,0.01,0.08,0.49000000000000005
183,Madden NFL 07,XB,2006,Sports,Electronic Arts,0.97,0.03,0.0,0.03,1.03
184,Rugby 06,XB,2006,Sports,Electronic Arts,0.01,0.0,0.0,0.0,0.01
185,FIFA Soccer,PSP,2005,Sports,Electronic Arts,0.11,0.0,0.0,0.01,0.12
186,Ore no Yome: Anata Dake no Hanayome,X360,2010,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
187,Goblin Commander: Unleash the Horde,GC,2003,Strategy,Jaleco,0.01,0.0,0.0,0.0,0.01
188,Phoenix Wright: Revived Turnabout,DS,2008,Misc,Capcom,0.0,0.0,0.04,0.0,0.04
189,Fatal Frame III: The Tormented,PS2,2005,Action,Take-Two Interactive,0.04,0.03,0.0,0.01,0.08
190,Garfield's Nightmare,DS,2007,Platform,Game Factory,0.01,0.0,0.0,0.0,0.01
191,Turbo Turtle Adventure,GBA,2002,Puzzle,Majesco Entertainment,0.04,0.01,0.0,0.0,0.05
192,Carnage Heart EXA,PSP,2010,Strategy,ArtDink,0.0,0.0,0.02,0.0,0.02
193,Left 4 Dead 2,X360,2009,Shooter,Electronic Arts,2.67,0.89,0.05,0.37,3.98
194,WWE 2K15,PS3,2014,Sports,Take-Two Interactive,0.36,0.35,0.0,0.14,0.85
195,Dora the Explorer: Super Star Adventures,GBA,2004,Adventure,Game Factory,0.17,0.06,0.0,0.0,0.23
196,Shin Chan: ¡Aventuras de Cine!,DS,2008,Platform,505 Games,0.0,0.0,0.15,0.0,0.15
197,The Legend of Heroes: Trails of Cold Steel II,PS3,2014,Role-Playing,Nippon Ichi Software,0.01,0.0,0.11,0.0,0.12
198,NBA 2K17,X360,2016,Sports,Take-Two Interactive,0.04,0.0,0.0,0.01,0.05
199,Shutsugeki! Otometachi no Senjou 2: Ikusabana no Kizuna,PSP,2011,Strategy,System Soft,0.0,0.0,0.01,0.0,0.01
200,Doki-Doki Universe,PSV,2013,Adventure,Sony Computer Entertainment,0.01,0.04,0.0,0.01,0.060000000000000005
201,Dr. Seuss' The Cat in the Hat,XB,2003,Misc,Vivendi Games,0.08,0.02,0.0,0.0,0.1
202,Alpha Protocol,PC,2010,Role-Playing,Sega,0.0,0.03,0.0,0.01,0.04
203,Bust-A-Move '99,PS,1997,Puzzle,Acclaim Entertainment,0.18,0.12,0.0,0.02,0.32
204,Puzzle Quest: Challenge of the Warlords,DS,2007,Puzzle,D3Publisher,0.28,0.01,0.03,0.02,0.3400000000000001
205,Cabela's Deer Hunt 2005 Season,PS2,2004,Sports,Activision,0.18,0.14,0.0,0.05,0.37
206,Pachi-Slot Higrashi no Naku Koro ni Matsuri,PS2,2010,Misc,Alchemist,0.0,0.0,0.02,0.0,0.02
207,Mortal Kombat: Tournament Edition,GBA,2003,Fighting,Midway Games,0.01,0.0,0.0,0.0,0.01
208,FIFA Street 2,GC,2006,Sports,Electronic Arts,0.09,0.02,0.0,0.0,0.11
209,Pac 'n Roll,DS,2005,Platform,Namco Bandai Games,0.09,0.0,0.02,0.01,0.12
210,Harry Potter and the Sorcerer's Stone,XB,2003,Action,Electronic Arts,0.05,0.02,0.0,0.0,0.07
211,Mountain King,2600,1982,Action,CBS Electronics,0.29,0.02,0.0,0.0,0.31
212,Saki: Zenkoku-hen,PSV,2015,Misc,Kaga Create,0.0,0.0,0.05,0.0,0.05
213,Wild West Shootout,Wii,2010,Shooter,Unknown,0.01,0.01,0.0,0.0,0.02
214,NASCAR Unleashed,PS3,2011,Racing,Activision,0.09,0.0,0.0,0.01,0.09999999999999999
215,Kouchuu Ouja Mushi King: Super Collection,DS,2007,Action,Sega,0.0,0.0,0.11,0.0,0.11
216,¡Shin Chan Flipa en colores!,DS,2007,Platform,505 Games,0.0,0.0,0.14,0.0,0.14
217,Phantom Crash,XB,2002,Simulation,Phantagram,0.03,0.01,0.01,0.0,0.05
218,MotoGP '06,X360,2006,Racing,THQ,0.11,0.01,0.0,0.01,0.13
219,Company of Heroes,PC,2006,Strategy,THQ,0.0,0.04,0.0,0.01,0.05
220,Road Trip: Shifting Gears,GBA,2002,Racing,Zoo Digital Publishing,0.01,0.0,0.0,0.0,0.01
221,Dragon Quest IV: Michibikareshi Monotachi,PS,2001,Role-Playing,Enix Corporation,0.0,0.0,1.2,0.01,1.21
222,Assassin's Creed Chronicles,PSV,2016,Action,Ubisoft,0.02,0.06,0.01,0.02,0.11
223,MLB 12: The Show,PSV,2012,Sports,Sony Computer Entertainment,0.18,0.0,0.0,0.02,0.19999999999999998
224,Just Dance 3,Wii,2011,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.27
225,Pokémon I Choose You / Squirtle Squad Game Boy Advance Video,GBA,2004,Misc,Nintendo,0.13,0.05,0.0,0.0,0.18
226,Namco Museum Vol.4,PS,1996,Misc,Sony Computer Entertainment,0.02,0.01,0.16,0.01,0.2
227,Disney's Winnie the Pooh's Rumbly Tumbly Adventure,GC,2005,Platform,Ubisoft,0.05,0.01,0.0,0.0,0.060000000000000005
228,Guinness World Records: The Videogame,DS,2008,Action,Warner Bros. Interactive Entertainment,0.47,0.01,0.0,0.04,0.52
229,Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice,PSV,2013,Strategy,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
230,Guitar Hero: Van Halen,PS2,2009,Misc,Activision,0.05,0.04,0.0,0.01,0.09999999999999999
231,IL-2 Sturmovik: Birds of Prey,DS,2009,Simulation,505 Games,0.06,0.0,0.0,0.0,0.06
232,Nobunaga's Ambition: Iron Triangle,PS2,2006,Strategy,Tecmo Koei,0.04,0.03,0.0,0.01,0.08
233,Colosseum: Road to Freedom,PS2,2005,Role-Playing,Tecmo Koei,0.03,0.03,0.0,0.01,0.06999999999999999
234,Rec Room Games,Wii,2009,Sports,Destineer,0.35,0.0,0.0,0.02,0.37
235,Winning Post 7: Maximum 2007,PS2,2007,Sports,Tecmo Koei,0.0,0.0,0.02,0.0,0.02
236,The Powerpuff Girls: Relish Rampage,GC,2002,Action,BAM! Entertainment,0.05,0.01,0.0,0.0,0.060000000000000005
237,Kidou Senshi V Gundam,SNES,1994,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
238,Suzuki TT Superbikes,PS2,2005,Racing,Jester Interactive,0.33,0.01,0.0,0.05,0.39
239,Okashi na Shima no Peter Pan: Sweet Never Land,PSP,2011,Adventure,Quinrose,0.0,0.0,0.02,0.0,0.02
240,Invasion From Beyond,PS,1998,Shooter,GT Interactive,0.05,0.03,0.0,0.01,0.09
241,NBA Street V3,PS2,2005,Sports,Electronic Arts,0.52,0.41,0.0,0.14,1.0699999999999998
242,Code Name: S.T.E.A.M.,3DS,2015,Strategy,Nintendo,0.14,0.05,0.01,0.02,0.22
243,Birthday Party Bash,Wii,2009,Misc,Take-Two Interactive,0.3,0.0,0.0,0.02,0.32
244,Seaman 2: Peking Genjin Ikusei Kit,PS2,2007,Simulation,Sega,0.0,0.0,0.06,0.0,0.06
245,"Lunar 2: Eternal Blue(sales, but wrong system)",GEN,1994,Role-Playing,Game Arts,0.0,0.0,0.14,0.0,0.14
246,Petz: Saddle Club,PSP,2009,Simulation,Ubisoft,0.08,0.0,0.0,0.01,0.09
247,The Inner World,PC,2013,Adventure,Headup Games,0.0,0.03,0.0,0.0,0.03
248,PGR3 - Project Gotham Racing 3,X360,2005,Racing,Microsoft Game Studios,0.49,0.03,0.03,0.05,0.6000000000000001
249,JU-ON: The Grudge,Wii,2009,Action,Rising Star Games,0.08,0.01,0.01,0.01,0.10999999999999999
250,Parfait,PSV,2015,Adventure,TGL,0.0,0.0,0.03,0.0,0.03
251,NASCAR Unleashed,3DS,2011,Racing,Activision,0.18,0.0,0.0,0.01,0.19
